Id,item,txtitem
1,288404,MANUTENCAO ANALISADOR DE GAS
2,288405,MANUTENCAO ANALISADOR DE GAS
3,288406,MANUTENCAO ANALISADOR DE GAS
4,288407,MANUTENCAO ANALISADOR DE GAS
5,1264431,MANUTENCAO ANALISADOR DE GAS
6,1264585,MANUTENCAO ANALISADOR DE GAS
7,1264587,MANUTENCAO ANALISADOR DE GAS
8,1264588,MANUTENCAO ANALISADOR DE GAS
9,1264589,MANUTENCAO ANALISADOR DE GAS
10,1264590,MANUTENCAO ANALISADOR DE GAS
11,1264591,MANUTENCAO ANALISADOR DE GAS
12,1264593,MANUTENCAO ANALISADOR DE GAS
13,1339571,PE-1A- ENVIAR PARA CAL EXTERNA PC612_05
14,1339572,PE-1A- ENVIAR PARA CAL EXTERNA PC615_02
15,1339573,PE-1A- ENVIAR PARA CAL EXTERNA PC622_05
16,1339574,PE-1A- ENVIAR PARA CAL EXTERNA PC625_02
17,1288835,INSP ANALISADOR PC612_05
18,1288836,INSP ANALISADOR PC622_05
19,1288837,INSP ANALISADOR PC625_02
